Series,Title,DOI,Domain,Control,Control Type,Motivation,Motivation Tag,Concerns(-) & Mitigations(+),Concern & Mitigation Typeype,LLM-ification Domain,LLM-related,Wizard-LLMs,,,,
ICMI '18,Investigating the dimensions of conversational agents' social competence using objective neurophysiological measurements,10.1145/3281151.3281162,"HRI, Multimodal & Emerging Interaction Techniques",Enabling the robot (Furhat) to deliver predefined French dialogues.,"Communication Control, Pre-scripted Content Control",Not specified,Not specified,Not specified,Not specified,Well-being & Health,This is a health-oriented neuroscience study whose ultimate goal is to support mental health interventions and clinical applications.,Not specified,,,,
HRI '18,"""Thank You for Sharing that Interesting Fact!"": Effects of Capability and Context on Indirect Speech Act Use in Task-Based Human-Robot Dialogue",10.1145/3171221.3171246,HRI,"The robot was teleoperated through a Wizard of Oz interface by a trained confederate in a nearby room, using the ADE implementation [36] of the DIARC architecture [33]","Embodied & Environmental Action Control, Pre-scripted Content Control",Not specified,Not specified,Not specified,Not specified,Reliability & Validity of WoZ,"Uses a WoZ method to evaluate the reliability of key interaction capabilities, such as language understanding, and their effects on user experience.",Not specified,,,,
CSCW '17,WoZ Way: Enabling Real-time Remote Interaction Prototyping &amp; Observation in On-road Vehicles,10.1145/2998181.2998293,Automotive User Interfaces,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Design,WoZ is used here as a remote prototyping and observation system to support in-vehicle interaction design.,Not specified,,,,
CHI '17,Gestures From the Point of View of an Audience: Towards Anticipatable Interaction of Presenters With 3D Content.,10.1145/3025453.3025641,Work & Creativity Support,trigger the corresponding behavior within the target application in a timely manner.,System Logic Simulation Control,Not specified,Not specified,Not specified,Not specified,Accessibility & Aging,Focuses on interaction design itself: how to make voice assistants easier for children to use.,Not specified,,,,
HRI '17,Marionette: Enabling On-Road Wizard-of-Oz Autonomous Driving Studies,10.1145/2909824.3020256,Automotive User Interfaces,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Design,WoZ is used here to simulate autonomous driving behavior on real roads.,Not specified,,,,
HRI '17,How to Open an Interaction Between Robot and Museum Visitor? Strategies to Establish a Focused Encounter in HRI,10.1145/2909824.3020219,HRI,"1. controlled parts of the robot's interactional decisions in the laboratory
2. used a wizard GUI to trigger next actions depending on the current robot state","Communication Control, Embodied & Environmental Action Control, System Logic Simulation Control",1. “as an intermediate step towards developing an autonomous robot system”,Technical Limitation,Not specified,Not specified,Design,"1. The research goal is to design flexible opening strategies in HRI.
2. The study uses an implicit WoZ method to test different interaction timings and triggering conditions.
3. The output is a set of design principles for making robot-initiated interactions feel more natural.",Not specified,,,,
ICMI '17,Interactive narration with a child: impact of prosody and facial expressions,10.1145/3136755.3136797,"Education&Learning, XR/VR/AR","1. used the OAK platform to let the wizard see the child's activity and interact by piloting an avatar
2. controlled the avatar's prosody and facial expressions across experimental conditions","Communication Control, Embodied & Environmental Action Control, Pre-scripted Content Control","1. “As the dialogue component of ECAs remain a technical difficulty [18, 44]”
2. “so that the collected data expresses what can be expected of ‘natural’ interaction.”","Psychological Realism, Technical Limitation","- “Unfortunately, most of the WoZ experiments cannot be easily reused in a different context [13, 30].”",Wizard Variability and Bias,Education,WoZ is used here as an early-stage method to design and evaluate an educational agent for children.,Not specified,,,,
DIS '17,Design Techniques for Exploring Automotive Interaction in the Drive towards Automation,10.1145/3064663.3064666,Automotive User Interfaces,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Design,"The method focuses on the design process: from improvisation, to WoZ prototypes, to video prototypes, to user feedback, to iterative refinement.",Not specified,,,,
IUI '17,Effect of Motion-Gesture Recognizer Error Pattern on User Workload and Behavior,10.1145/3025171.3025234,"Mobile Ubiquitous & Wearable Computing, Multimodal & Emerging Interaction Techniques","  1. control error rate：“To control error rate, we used a wizard-of-Oz technique. Gestures that exceeded our base-level threshold for a gesture (tuned above) were either correctly or incorrectly recognized. We controlled error rate by using a probability function in conjunction with a count of gesture attempts to equalize the number of attempts that participants needed to perform 50 successful motion gestures.”
2.simulate recognition system：“We create a wizard-of-Oz recognition system that allows us to contrast the two approaches, and demonstrate statistically significant benefits to the bi-level thresholding strategy, even when overall reject rates are identical.” ",System Logic Simulation Control,1. “To control error rate”,Controlling Confounds,Not specified,Not specified,Reliability & Validity of WoZ,"The core goal is to achieve high-precision experimental control through WoZ, ensuring the reliability and validity of the findings.",Not specified,,,,
IDC '17,Collaborative Storytelling between Robot and Child: A Feasibility Study,10.1145/3078072.3079714,"Education&Learning, HRI",1. two adult experimenters took the place of the robot and delivered contextual or non-contextual storytelling prompts during the oral storytelling task,"Communication Control, System Logic Simulation Control","1. “Nevertheless, the vision of a collaborative storytelling robot is limited by the current capabilities of artificial intelligence (AI).”
",Technical Limitation,"1. ""However, due to time pressure, experimenters sometimes were not able to meet this requirement and used the wrong type of prompt.""",Temporal and Performance Constraints,Education,WoZ is used here to control pedagogical variables and study children's language interaction mechanisms.,Not specified,,,,
HRI '16,Discovering Social Interaction Strategies for Robots from Restricted-Perception Wizard-of-Oz Studies,,"HCI Methods & Tools, HRI",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Reliability & Validity of WoZ,Wizard of Oz is used as an experimental method for discovering and extracting social interaction strategies for robots. The study aims to improve the reliability and validity of WoZ experiments.,Not specified,,,,
AutomotiveUI ‘16,"The Exploration of Autonomous Vehicle Driving Styles: Preferred Longitudinal, Lateral, and Vertical Accelerations",10.1145/3003715.3005455,Automotive User Interfaces,"1. “The AV Driving style was simulated by a human driver, the Driving Wizard, who was an experienced driver with a valid driving license. The Driving Wizard was implemented based on the method developed by Baltodano et al. [12]. His main role was to simulate the three projected AV DSs and to induce the corresponding acceleration forces.”
2. “The primary role of the Interaction Wizard was to assist participants at any time and handling the questionnaires to participants during the experiment.”",Embodied & Environmental Action Control,"1. ”In addition, the advantage of the Wizard approach is that autonomous driving can be simulated in real road conditions, allowing us to address questions that could otherwise be addressed only in driving simulators or after an autonomous vehicle has become available.“","Psychological Realism, Technical Limitation","1. ""The AV accelerations simulated by the Driving Wizard must be kept consistent.""",Wizard Variability and Bias,Design,The core goal is to design user experience for future autonomous driving systems.,Not specified,,,,
Automotive'UI 16,Assessing Cognitive Demand during Natural Language Interactions with a Digital Driving Assistant,10.1145/3003715.3005408,Automotive User Interfaces,"A second person accompanied Pablo and was responsible for retrieving facts and figures in real - time from the Internet, as dictated by the course of the conversation","Communication Control, Wizard Collaboration & Mediation","1. “There is an inherent difficulty in conducting exploratory or formative evaluations of prospective, future ‘talking’ technology. The complexities of core speech recognition and synthesizer technologies, and supporting intelligence, mean that even current state-of-the-art speech-based interfaces are difficult to create and/or simulate, even with costly and elaborate prototyping.” 
2. ”This technique has been used successfully to evaluate proposed design concepts as well as conduct user acceptance studies on finalised interface designs“
3. ”However, it also allows ultimate flexibility, enabling the ‘wizard’ to deal with all and any unexpected responses and events.“","Adaptive Flexibility, Alignment with Prior Work, Technical Limitation",Not specified,Not specified,Augmenting Capabilities,The core goal is to assess whether natural language interaction can safely enhance drivers' information processing capacity in the physical world.,Not specified,,,,
HRI '16,Human Creativity Can be Facilitated Through Interacting With a Social Robot,,"HRI, Work & Creativity Support","1. One operator controlled Robovie’s movement, while another operator determined when Robovie delivered predefined utterances.
2. Based on the participant’s specific answers, the speech operator entered keywords into designated fields of the control interface, enabling Robovie to generate customized responses.
3. Additionally, the second operator could type in real time to allow Robovie to provide concise, immediate replies to the participant’s questions.","Communication Control, Embodied & Environmental Action Control, Pre-scripted Content Control, System Logic Simulation Control, Wizard Collaboration & Mediation","1. ”simplifying the demands of automated natural language processing (NLP) which would need to recognize, extract, and then insert only the keywords.“",Technical Limitation,- “We are aware that some researchers within the HRI community have spoken against WoZ empirical studies [30] and say that HRI studies should focus on the here-and-now of what robots can actually do.”,Ecological Validity,Creativity,WoZ is used here to explore creative human-robot collaboration. The study focuses on promoting human creativity and expression through interaction.,Not specified,,,,
UbiComp '15,Drone &amp; me: an exploration into natural human-drone interaction,10.1145/2750858.2805823,HRI,"1. simulated the drone's autonomous behavior and reactions to user input
2. controlled the drone so that it behaved according to the study scenario","Embodied & Environmental Action Control, System Logic Simulation Control, Wizard Collaboration & Mediation",Not specified,Not specified,Not specified,Not specified,Design,Not specified,Not specified,,,,
IUI '15,Light-Bulb Moment? Towards Adaptive Presentation of Feedback based on Students' Affective State,10.1145/2678025.2701377,Education&Learning,“Feedback was provided by the wizard based on student’s speech and on their performance.”,"Communication Control, System Logic Simulation Control",1. “ which investigated the effect of feedback presentation on students’ affective states”,Psychological Realism,Not specified,Not specified,Education,The core goal is to improve feedback mechanisms in learning environments so they can adapt to students' affective states and improve learning outcomes.,Not specified,,,,
CHI '15,Apparition: Crowdsourced User Interfaces that Come to Life as You Sketch Them,10.1145/2702123.2702565,Work & Creativity Support,"1. translated sketched interface elements and spoken descriptions into user interface elements
2. added animations to the interface
3. simulated complex interaction behaviors as needed
4. refined interface elements over time to create a more polished prototype","Embodied & Environmental Action Control, System Logic Simulation Control, Wizard Collaboration & Mediation","1. ”a human ‘wizard’ provides feedback or control to simulate difficult-to-implement features“
2. ”behaviors targeted by these designers were too diverse to embed into any one system with a fixed set of supported features“","Adaptive Flexibility, Technical Limitation",Not specified,Not specified,Design,The core contribution is to transform the UI design and prototyping process itself; this is a typical interaction-design and design-tool innovation.,Not specified,,,,
DIS '14,Participatory materials: having a reflective conversation with an artifact in the making,10.1145/2598510.2598591,"Education&Learning, Work & Creativity Support","1. one researcher controlled the artifact's facial movement from a camera view
2. pre-written tutorial prompts and questions were triggered by a researcher during each experiment","Communication Control, Embodied & Environmental Action Control, Pre-scripted Content Control, System Logic Simulation Control",Not specified,Not specified,Not specified,Not specified,Design,The core contribution is to reconceptualize the design process itself as a reflective conversation between people and materials.,Not specified,,,,
UbiComp '14,Creative collaboration with a social robot,10.1145/2632048.2632058,"HRI, Work & Creativity Support","• One operator controlled Robovie’s movement, while another operator managed when Robovie delivered predefined utterances. By inputting responses, this second operator could—and occasionally did—provide real-time, concise replies through Robovie to participants’ questions or comments.• The interaction was video-recorded; during each session, the final Droodle title entered by the participant was captured via screen capture by the WoZ operator.","Communication Control, Embodied & Environmental Action Control, Pre-scripted Content Control, System Logic Simulation Control, Wizard Collaboration & Mediation","1. ""We adopted a remotely operated Wizard of Oz (WoZ) interface to achieve natural language processing and robotic social capabilities beyond current technological limits.""
2. ""WoZ techniques are frequently employed to evaluate prototype concepts prior to significant investment in development. Other researchers have successfully applied WoZ methods in Human-Robot Interaction (HRI) and Ubiquitous Computing (UbiComp).”","Alignment with Prior Work, Technical Limitation",Not specified,Not specified,Creativity,"Wizard of Oz is used to simulate a creative robot that proactively asks questions, encourages users, and offers inspiration. The core issue is whether the robot can act as a creative partner that enhances human expression.",Not specified,,,,
HRI '14,"Which robot behavior can motivate children to tidy up their toys? design and evaluation of ""ranger""",10.1145/2559636.2559659,HRI,"1. low-level robot behaviors were mostly pre-coded, and the wizard pressed specific buttons on a remote control to execute them
2. Ranger was remote controlled from a different room through a video game controller connected to a laptop","Embodied & Environmental Action Control, System Logic Simulation Control","1. “We wanted to evaluate an early version of our robot prototype and study human-robot interaction in a realistic setting before developing a fully autonomous robot.”
2. “To do so, Weiss et al. [12] propose the Wizard of Oz approach, in which the robot is not fully autonomous but controlled by a human operator who hides in the background.”","Alignment with Prior Work, Technical Limitation",Not specified,Not specified,Education,Wizard of Oz is used to simulate a robot that actively or passively motivates children to tidy up their toys. The core issue is how a robot can act as an educational agent to foster responsibility and self-care.,Not specified,,,,
HRI '14,Adaptive emotional expression in robot-child interaction,10.1145/2559636.2559663,HRI,"1. interpreted the child's emotions through a Wizard-of-Oz setup
2. used that interpretation to drive the robot's adaptive emotional expressions, including voice, posture, eye color, and gestures","Communication Control, Embodied & Environmental Action Control, Pre-scripted Content Control, System Logic Simulation Control","1. “For this experiment, however, a final step was necessary as the model relies on input.”",Technical Limitation,Not specified,Not specified,Education,"The core goal is to enhance robots' educational and social capabilities in child interaction, fitting educational technology and child development research.",Not specified,,,,
ICMI '13,Investigating appropriate spatial relationship between user and ar character agent for communication using AR WoZ system,10.1145/2522848.2522855,XR/VR/AR,"1. controls the motion of the AR character agent according to the experimenter’s body joint position data received
2. talked with the subject for 2 min at the distance that the subject found appropriate for communication","Communication Control, Embodied & Environmental Action Control","1. “In Human–Robot Interaction (HRI) studies, some researchers use the Wizard of Oz (WoZ) method”",Alignment with Prior Work,"1. ""One disadvantage of the system is that users need to wear the various pieces of equipment, making it less natural than dealing with physical robots.""
2. ""This approach allows researchers to conduct ecologically realistic experiments with more precise experimental control than does the real environment approach.""",Ecological Validity,Design,"Wizard of Oz is used to simulate the behavior of an AR character agent in order to explore natural spatial relationships between users and virtual characters, providing interaction design guidance for future AR systems.",Not specified,,,,
AutomotiveUI '13,International evaluation of NLU benefits in the domain of in-vehicle speech dialog systems,10.1145/2516540.2516553,Automotive User Interfaces,"1. controlled the simulated speech dialog system through a Wizard-of-Oz GUI on a touchscreen workstation
2. played predefined TTS phrases with the appropriate timing and order to support the speech dialogs","Communication Control, Pre-scripted Content Control","“By using a Wizard of Oz simulation of the two different systems, we kept the recognition rate constant and just varied the dialog design.”",Controlling Confounds,"-”Research administrators and ""wizard operators"" vary across countries. Although administrator instructions were standardized, experimenter effects (e.g., subjective ratings of the extent of users' natural language input) could not be entirely eliminated. This factor remains challenging to control; its influence can only be mitigated through meticulous and standardized guidance for administrators.“",Wizard Variability and Bias,Design,Wizard of Oz is used to simulate and compare two in-vehicle speech interaction designs. The core issue is which interaction style is more efficient and preferred by users.,Not specified,,,,
AutomotiveUI '13,Mostly passive information delivery in a car,10.1145/2516540.2516572,Automotive User Interfaces,"1. controlled video playback from behind the scenes using a separate control panel
2. selected and played prefabricated audio-video responses and confirmation prompts in response to user requests","Pre-scripted Content Control, System Logic Simulation Control",Not specified,Not specified,"1. ""The users differed in the amount of interaction they preferred.""",Wizard Variability and Bias,Design,"Wizard of Oz is used to simulate and evaluate a new in-car information interaction design. The core contribution is to propose and validate a low-distraction, passive information-delivery UI concept for future vehicle systems.",Not specified,,,,
UbiComp '13,Towards more natural digital content manipulation via user freehand gestural interaction in a living room,10.1145/2493432.2493480,"Mobile Ubiquitous & Wearable Computing, Multimodal & Emerging Interaction Techniques","• “When the performer performs a gesture, the recognizer interprets the sign (i.e., gesture)”。
• “and manipulates the system to give appropriate feedback”。","Embodied & Environmental Action Control, System Logic Simulation Control",1. “To provide appropriate feedback to users regardless of technology”,Technical Limitation,"1. ""However, a conventional Wizard of Oz study was used to evaluate and quickly generate numerous designer ideas in the early design stages.""","Ecological Validity, Temporal and Performance Constraints",Design,"Wizard of Oz is used to simulate a gesture-recognition system, combined with user elicitation, to explore natural gestural interaction in the living room and derive design implications.",Not specified,,,,
CHI '13,Creativity support for novice digital filmmaking,10.1145/2470654.2470747,Work & Creativity Support,"1. “While the expert identified rule violations, an assistant prepared the notifications that would be sent to users.”
2. “While the expert identified rule violations, an assistant prepared the notifications that would be sent to users.”。
3. The assistant entered this error list into the WOZ interface and waited for the user to press “analyze.” When that occurred, the assistant sent a message containing all of the errors and stock notification messages describing those errors.”","Communication Control, System Logic Simulation Control",1. “To explore a rule-based critic approach before developing a complex system”,Cost-Efficiency,Not specified,Deception,Creativity,Wizard of Oz is used to simulate an intelligent system that can detect and report filmmaking-rule violations. The core goal is to support novice creative filmmaking by reducing technical mistakes.,Not specified,,,,
ICMI '12,Estimating conversational dominance in multiparty interaction,10.1145/2388676.2388699,Multimodal & Emerging Interaction Techniques,"1. answered questions and recommended some places to visit
2. listened to the question and chose one of the answer menus or typed some text to answer the question","Communication Control, Pre-scripted Content Control",Not specified,Not specified,Not specified,Not specified,Creativity,Wizard of Oz is used to build a multi-party conversation experiment with a virtual agent in order to collect natural interaction data and develop an automatic model of conversational dominance.,Not specified,,,,
UMAP'12,Adapting performance feedback to a learner's conscientiousness,10.1007/978-3-642-31454-4_25,Education&Learning,"We used a User-as-Wizard approach, with participants taking the role of the adaptive feedback generator.","Communication Control, System Logic Simulation Control","1. Following on from an earlier study that investigated the effect of generalized self-efficacy, this study examines how feedback may need to be adapted to the trait Conscientiousness from the Five Factor Model. 2. From these studies, we hope to construct an algorithm allowing a tutoring system to adapt its feedback to learner personality.",Alignment with Prior Work,Not specified,Not specified,Education,WoZ is used to explore more effective educational interventions.,Not specified,,,,
ICMI '11,Making virtual conversational agent aware of the addressee of users' utterances in multi-user conversation using nonverbal information,10.1145/2070481.2070557,HRI,1. conducted a WOZ experiment to collect a corpus of human-human-agent triadic conversations for addressee estimation,"Communication Control, Pre-scripted Content Control",Not specified,Not specified,Not specified,Not specified,Design,The core goal is to design a virtual agent that can detect the addressee of an utterance; WoZ is used to collect high-quality interaction data to support behavior design and modeling.,Not specified,,,,
C&amp;C '11,Traces in creative spaces,10.1145/2069618.2069634,Work & Creativity Support,Not specified,Not specified,"1. “enabled participants to experience working with circles of traces on the floor, while being free to ‘invent’ interactions and elements in the interface”",Adaptive Flexibility,Not specified,Not specified,Creativity,WoZ is used to evaluate the effectiveness of the traces tool in a real creative task.,Not specified,,,,
MobileHCI '11,The secret life of my dog: design and evaluation of paw tracker concept,10.1145/2037373.2037409,"Health&Well-being, Mobile Ubiquitous & Wearable Computing","1. “The researcher following the live - video feed made status updates to the blog from such events that Paw Tracker, if implemented according the concept, would recognize.”
2. “The length, duration and route of the walks were captured from Sports Tracker internet service and a blog updates were created based on that information.”","Communication Control, System Logic Simulation Control","1. “Because the system concept was totally new to the dog owners”
2. “inexpensive and fast to set up”
3. “enabled a more realistic system demonstration than a non-functional prototype with fake data”","Cost-Efficiency, Psychological Realism, Technical Limitation",Not specified,Not specified,Design,The core goal is to design a human-dog interaction support system (Paw Tracker); WoZ is used to validate an interaction concept prototype.,Not specified,,,,
HRI '11,A robotic game to evaluate interfaces used to show and teach visual objects to a robot in real world condition,10.1145/1957656.1957782,HRI,1. used a gesture-based interface with a Wizard-of-Oz recognition system to interpret users' gestures when teaching visual objects to the robot,Embodied & Environmental Action Control,"1. “As gesture recognition is still a hard task”
2. “allows to assess how far the human-robot interaction could go if one would assume human-level computer vision and interpretation capabilities within the constraints of a typical social robot sensorimotor apparatus.”","Benchmark, Technical Limitation",Not specified,Not specified,Design,WoZ is used to test a natural-gesture interaction concept as part of a design comparison.,Not specified,,,,
EICS '10,WebWOZ: a wizard of oz prototyping framework,10.1145/1822018.1822035,HCI Methods & Tools,"The wizard requires a special-purpose user interface to select responses for the participant and keep track of the dialogue history, dialogue state, and available options.","Communication Control, Pre-scripted Content Control, Wizard Collaboration & Mediation","1. Prototyping early in the design process is critical for the development of high quality applications. 2. A tool that facilitates the flexible integration of LT components into WOZ experiments is desirable.","Cost-Efficiency, Technical Limitation","1. The quality aspect of tests is suddenly shifted from the reliability of a technology component to the consistency of a human. 2. The wizard's task is cognitively highly demanding.",Wizard Variability and Bias,Reliability & Validity of WoZ,"The core goal is to improve the reliability and validity of the WoZ method itself. By providing a standardized framework, the work aims to reduce technical errors and human bias and improve reproducibility.",Not specified,,,,
CHI '10,Eliza meets the wizard-of-oz: blending machine and human control of embodied characters,10.1145/1753326.1753408,XR/VR/AR,"In the Transcription role, human operators type players' spoken utterances; in the Discourse role, human operators select from semantic categories to interpret player intention, and algorithms use this discourse act to automate character dialogue and animation.","Communication Control, System Logic Simulation Control","1. Purely algorithmic means for controlling embodied characters must overcome numerous technical challenges. 2. Controlling embodied characters with human actors faces the practical constraints of theatrical performance.","Technical Limitation, Cost-Efficiency","1. Transcription was easy to learn, but it often suffered delays and misinterpretations in producing character responses. 2. Discourse required more effort for operators to learn.",Temporal and Performance Constraints,Design,"By using Wizard of Oz in a real art exhibition, the work conducts a long-term evaluation and offers design-space and practical insights for future designers. Its core is interaction design.",Not specified,,,,
IDC '10,A collaborative approach to the design and evaluation of an interactive learning tool for children with special educational needs,10.1145/1810543.1810577,Accessibility&Aging,"A Wizard of Oz evaluation setup, with an educator as the Wizard, was deemed appropriate.","Communication Control, Wizard Collaboration & Mediation","1. It is difficult to apply typical usability tests directly. 2. Obstacles include the necessary interference of the teachers, the limitations of questioning the children, and the large differences in ability. 3. A promising way around these problems is to employ methods that allow and take account of the collaboration between the child and the educator.","Adaptive Flexibility, Controlling Confounds",Not specified,Not specified,Education,"The core goal is to design a learning experience for children with special educational needs; the system aims to strengthen learning processes, and WoZ is used to evaluate the educational tool.",Not specified,,,,
IUI '10,Estimating user's engagement from eye-gaze behaviors in human-agent conversations,10.1145/1719970.1719990,HRI,"The agent's actions are limited to the actions that the autonomous agent to be implemented can perform.","Communication Control, System Logic Simulation Control","1. First, we conduct a Wizard-of-Oz experiment to collect the user's gaze behaviors. 2. Most of the subjects believe that they are interacting with a real autonomous agent. Therefore, the collected corpus can be used as a basis for designing human-agent interactions.","Technical Limitation, Psychological Realism",Not specified,Not specified,Design,"The core goal is to design a conversational agent that can sense user engagement; WoZ is used to collect data for behavior design and modeling, leading to a real-time engagement estimator.",Not specified,,,,
CHI '10,"Trying too hard: effects of mobile agents' (Inappropriate) social expressiveness on trust, affect and compliance",10.1145/1753326.1753546,Mobile Ubiquitous & Wearable Computing,"A networked observer application was used to monitor participants' interaction with the mobile application and to send the scenario's system messages.","Communication Control, System Logic Simulation Control","We conducted a between-subject, Wizard-of-Oz experiment that evaluated interaction with a mobile agent that monitored the user's surroundings and both provided and requested information in an urgent context.","Benchmark, Psychological Realism",Not specified,Not specified,Design,"The core goal is to evaluate interaction design strategies for mobile agents, especially social expressiveness; WoZ is used to test how different language styles affect user experience.",Not specified,,,,
CHI '10,Designing patient-centric information displays for hospitals,10.1145/1753326.1753650,Health&Well-being,"We manually compiled information extracted from the patient medical record and constructed posters that mimicked a potential digital display. We placed these posters in patient rooms and updated them as frequently as appropriate.","Pre-scripted Content Control, System Logic Simulation Control","1. To assess patient and provider responses to in-room information displays. 2. We sought to reduce pragmatic constraints and maximize flexibility. We chose paper prototypes.","Psychological Realism, Cost-Efficiency",Not specified,Not specified,Well-being & Health,Wizard of Oz is used in the emergency department to simulate an automated patient information display system and evaluate its effects on patients and staff; the core goal is to improve mental state and care experience through information transparency.,Not specified,,,,
ICMI-MLMI '09,Temporal aspects of CARE-based multimodal fusion: from a fusion mechanism to composition components and WoZ components,10.1145/1647314.1647346,HCI Methods & Tools,"WoZ components are used for tuning the temporal aspects of the performed fusion.",System Logic Simulation Control,"1. Generic models and tools allowing us to do fast prototyping of multimodal applications. 2. Exploring design solutions before implementing an adequate fusion mechanism.","Technical Limitation, Cost-Efficiency",Not specified,Not specified,Design,"The core focus is the design and implementation of multimodal fusion mechanisms. It proposes 'WoZ components' as a design probe for exploring and validating fusion strategies, especially their temporal aspects.",Not specified,,,,
AutomotiveUI '09,"The theater-system technique: agile designing and testing of system behavior and interaction, applied to highly automated vehicles",10.1145/1620509.1620517,Automotive User Interfaces,"The confederate emulates the automation behavior and interaction while the user drives through different scenarios.","Communication Control, System Logic Simulation Control, Embodied & Environmental Action Control","1. Agile designing and testing of system behavior and interaction. 2. The theater-system technique allows the involvement of users from the beginning of the design process in a very tangible way.","Adaptive Flexibility, Cost-Efficiency","The confederate can not reproduce the system behavior as standardized and consistent as a software prototype.",Wizard Variability and Bias,Design,The core contribution is an agile design method for HCI systems; the theater-system technique is essentially a systematized and situated extension of WoZ for interaction design in complex systems such as automated driving.,Not specified,,,,
MobileHCI '09,The mobile Oracle: a tool for early user involvement,10.1145/1613858.1613956,"Accessibility&Aging, Mobile Ubiquitous & Wearable Computing","The Oracle follows the user and provides information on demand at different points in space and time.","Communication Control, Wizard Collaboration & Mediation","1. Intended to help developers and designers obtain a better understanding of what the user wants at different points in space and time. 2. Combining a lo-fi Wizard-of-Oz methodology with an information on demand technique.","Adaptive Flexibility, Psychological Realism",Not specified,Not specified,Design,"The core goal is to provide an early-user-involvement tool for mobile application design; Mobile Oracle is an extension of traditional WoZ for mobile and situated interaction design, producing design insights about when, where, and how users seek information.",Not specified,,,,
ICMI '08,A Wizard of Oz study for an AR multimodal interface,10.1145/1452392.1452444,XR/VR/AR,"The users' commands are interpreted by a human Wizard who controls the interface and gives the illusion that the application is capable of perfect speech and gesture recognition.","Communication Control, System Logic Simulation Control","1. Our goal is to use a WOz study to help guide the creation of a multimodal AR interface which is most natural to the user. 2. These studies simulate perfect speech and gesture recognition to allow subjects to freely use any commands they want.","Adaptive Flexibility, Technical Limitation","1. When the wizard did not react to their gesture commands properly, most users repeated the same command again. 2. If the wizard made a mistake simulating the users' command, the users thought they did something wrong, not the system.",Temporal and Performance Constraints,Design,Wizard of Oz is used as a user-research method to collect natural interaction behavior data and support the design of an AR multimodal system.,Not specified,,,,
ICMI '08,"A high-performance dual-wizard infrastructure for designing speech, pen, and multimodal interfaces",10.1145/1452392.1452419,Work & Creativity Support,"A Content Wizard could view multiple video feeds and a second signal energy wizard analyzed features of subjects' speech and pen constructions in real time; both wizard responses were then combined to yield a system response.","Communication Control, System Logic Simulation Control, Wizard Collaboration & Mediation","Such a methodology is needed for limiting the amount of data to which one wizard must attend in order to perform correctly and quickly.",Technical Limitation,"Wizard error rate and fatigue would have been prohibitive over the course of this demanding study without the streamlined organization and tools.",Temporal and Performance Constraints,Design,Not specified,Not specified,,,,
HRI '07,Group attention control for communication robots with wizard of OZ approach,10.1145/1228716.1228733,HRI,"The latter system is managed by an operator using a remote operation system that consists of a personal computer, a database, and actuator modules.","Communication Control, System Logic Simulation Control, Embodied & Environmental Action Control","1. We adopted an approach with a semi-autonomous system to solve this problem and tested the GAC system with the Wizard of Oz method. 2. We tried to reproduce real field settings in our laboratory with several researchers, but we failed because people in the field do not behave as predicted.","Technical Limitation, Psychological Realism",Not specified,Not specified,Design,The core goal is to design interaction strategies for communication robots in group settings; WoZ is used to explore and evaluate attention-control designs such as gaze strategies and speech timing.,Not specified,,,,
UIST '07,SketchWizard: Wizard of Oz prototyping of pen-based user interfaces,10.1145/1294211.1294233,Work & Creativity Support,"Designers and end users share a drawing canvas between two computers, allowing the designer to simulate the behavior of recognition or other technologies.",System Logic Simulation Control,"1. Designers have been inhibited from participating in the design of pen-based interfaces because of the inadequacy of paper prototypes and the difficulty of developing functional prototypes. 2. The only current alternative is to build a working system, but this takes time and a deep understanding of technology.","Technical Limitation, Cost-Efficiency","End users gave valuable feedback in spite of delays between end-user actions and wizard updates.",Temporal and Performance Constraints,"Creativity, Design","Wizard of Oz is implemented as a rapid pen-based prototyping tool that lets designers simulate complex handwriting recognition and interface responses without programming, lowering the barrier to early user testing and feedback.",Not specified,,,,
RecSys '07,Evaluating information presentation strategies for spoken recommendations,10.1145/1297231.1297260,Multimodal & Emerging Interaction Techniques,"The wizard copied and pasted the output from the menu-based interface to the speech synthesizer.","Communication Control, System Logic Simulation Control, Pre-scripted Content Control","It is crucial that we gain understanding of how best to design information presentation strategies for spoken recommendations.",Benchmark,Not specified,Not specified,Design,"Wizard of Oz is used to simulate a spoken recommendation system and compare two information-presentation strategies, providing empirical guidance for spoken dialogue system design.",Not specified,,,,
CHI '07,BrickRoad: a light-weight tool for spontaneous design of location-enhanced applications,10.1145/1240624.1240673,Work & Creativity Support,"Wizard of Oz allows designers to test an application prototype by simulating nonexistent components such as location sensing.","System Logic Simulation Control, Embodied & Environmental Action Control","1. It is difficult to design and test location-enhanced applications. 2. BrickRoad lowers the threshold to acquiring user feedback and exploring a design space. 3. With BrickRoad, a designer does not need to specify any interaction logic and can experiment on-the-fly with different designs during testing.","Technical Limitation, Adaptive Flexibility, Cost-Efficiency",Not specified,Not specified,Design,"Wizard of Oz is implemented as a lightweight, improvisational prototyping tool that lets designers simulate location-aware system behavior during user testing and rapidly explore the design space.",Not specified,,,,
